"alpha","n","mean_res1"
0.1,100,1.46530302108755
0.1,200,1.33753931295084
0.1,400,1.27953106403949
0.1,800,1.11749897436849
0.1,1600,1.0481539261062
0.1,3200,1.06814856637397
0.15,100,1.47803816092984
0.15,200,1.37588531889856
0.15,400,1.33037213272027
0.15,800,1.24145554671948
0.15,1600,1.10263160187157
0.15,3200,1.09006990067071
0.2,100,1.58333257964386
0.2,200,1.4343146788725
0.2,400,1.31762384922398
0.2,800,1.35171686066949
0.2,1600,1.16320505463836
0.2,3200,1.1032190396637
0.25,100,1.49193483920295
0.25,200,1.46051836279972
0.25,400,1.28279471002585
0.25,800,1.25753473283045
0.25,1600,1.12723778721264
0.25,3200,0.901840188900435
0.3,100,1.38250006354944
0.3,200,1.34639890797778
0.3,400,1.25352422420016
0.3,800,1.23386259613295
0.3,1600,1.1472918127531
0.3,3200,0.954171466342119
0.35,100,1.36261808135034
0.35,200,1.38509987409095
0.35,400,1.20554173029681
0.35,800,1.23712951107719
0.35,1600,1.10605712838269
0.35,3200,1.10387221757606
0.4,100,1.34955886259707
0.4,200,1.23912861554586
0.4,400,1.17571671461739
0.4,800,1.32568668336338
0.4,1600,1.02810408226592
0.4,3200,0.923659595174661
0.45,100,1.34082968788919
0.45,200,1.1849083601099
0.45,400,1.09085589963576
0.45,800,1.22138844758136
0.45,1600,0.996379726682193
0.45,3200,0.910083729727083
0.5,100,1.38649976301034
0.5,200,1.26634438509462
0.5,400,0.950061780132222
0.5,800,1.07120380007992
0.5,1600,1.02259095937121
0.5,3200,0.935684337264252
0.55,100,1.24073300968031
0.55,200,1.13596234038744
0.55,400,1.18631403697842
0.55,800,1.08136878264544
0.55,1600,0.982300350726573
0.55,3200,0.901047693236762
0.6,100,1.3112128579193
0.6,200,1.23141024647696
0.6,400,1.03133201410524
0.6,800,1.02416773512767
0.6,1600,0.947950087737269
0.6,3200,0.889054235809983
0.65,100,1.3462427721786
0.65,200,1.26110028563231
0.65,400,1.14775260979909
0.65,800,0.762726259617637
0.65,1600,0.832763988472855
0.65,3200,0.839270481508134
0.7,100,1.28672887086058
0.7,200,1.10575515664511
0.7,400,1.05187614982602
0.7,800,0.857731298855997
0.7,1600,0.795533277864496
0.7,3200,0.884383365987588
0.75,100,1.41062960309165
0.75,200,1.15640733307622
0.75,400,1.06649710098715
0.75,800,0.8019457833103
0.75,1600,0.890496897170586
0.75,3200,0.929746237930188
0.8,100,1.2691147890367
0.8,200,1.19917388431527
0.8,400,1.06537243336205
0.8,800,0.984164152219321
0.8,1600,0.897388518567946
0.8,3200,0.805995756581397
0.85,100,1.2939194195979
0.85,200,1.08568606512714
0.85,400,1.00833919610795
0.85,800,0.846809118362442
0.85,1600,0.89036578105462
0.85,3200,0.720306308085871
0.9,100,1.37902184998564
0.9,200,1.10411859504649
0.9,400,0.953912925795494
0.9,800,0.913768571929425
0.9,1600,0.913221714659638
0.9,3200,0.715935776172881
